total,share_femmes,share_hommes,descr
277.24707994067336,0.7769000741894564,0.2230999258105436,"Employés de commerce, de bureau spa"
197.33109405617745,0.250538161422847,0.749461838577153,"Entrepreneurs, directeurs"
186.8267281471741,0.6562375214912951,0.3437624785087049,"Vendeurs, employés du commerce de détail"
172.33874617383418,0.5091237066552342,0.4908762933447658,Attribution impossible / sans indication
144.4912462239833,0.3621637486717077,0.6378362513282922,Cadres moyens sip
115.19795316406118,0.7169038551124093,0.2830961448875907,"Concierges, nettoyeurs de locaux et de bâtiments"
85.11029643738195,0.855693887810256,0.14430611218974398,Infirmiers diplômés
73.06027663350588,0.35332822195074975,0.6466717780492502,Personnel de cuisine
62.80023439654571,0.7938640138619139,0.20613598613808615,Instituteurs (école primaire)
60.874363922494574,0.4294511440765337,0.5705488559234664,Professions bancaires spa
59.52604707000054,0.8095747305428368,0.1904252694571632,Autres professions de l'assistance sociale
56.57439946904458,0.23445887211193048,0.7655411278880695,Spécialistes en organisation et planification epa
55.99609603789201,0.10700858844517794,0.8929914115548221,Informaticiens et analystes
53.324017657531115,0.5100215714109514,0.4899784285890486,Autres commerçants et négociants
50.64384062650597,0.6208217524529175,0.3791782475470825,Comptables
50.55468276371886,0.20479595177438933,0.7952040482256106,Agriculteurs
50.15275577391715,0.46800158369010897,0.531998416309891,Médecins
49.388191547459996,0.7476121643125839,0.2523878356874161,Personnel de service
43.316856456599886,0.823288644087395,0.176711355912605,Autres professions soignantes
40.09106854836542,0.08692183032154024,0.9130781696784598,Autres techniciens
39.68481310612203,0.015351164120101079,0.9846488358798989,Installateurs et monteurs-électriciens
35.15777784308676,0.5551084480765568,0.4448915519234432,Fonctionnaires d'administration epa
33.872372798837205,0.8975796463564399,0.10242035364356006,"Aides hospitaliers, aides-infirmiers"
32.86516229657966,0.12497735332282092,0.8750226466771791,Autres ingénieurs
30.9766710281266,0.14826182955422756,0.8517381704457725,Autres professions de l'informatique
30.88895162935839,0.7396620896333861,0.2603379103666139,Spécialistes du personnel
29.753945663867924,0.9216673736623752,0.07833262633762483,Employés de maison
29.29415564917564,0.20367578062626643,0.7963242193737335,"Magasiniers, manutentionnaires"
28.80223106975884,0.7726508163438878,0.22734918365611223,Educateurs spécialisés
28.676372528231514,0.17404507417733905,0.825954925822661,Professions de l'horticulture epa
28.405096249588162,0.40421157460046175,0.5957884253995382,"Représentants, voyageurs de commerce"
28.161199206802806,0.7211389340240819,0.2788610659759181,Divers professeurs spécialisés
27.857089110765745,0.5277032089910995,0.47229679100890054,"Hôteliers, directeurs de restaurants"
27.831764704207778,0.053694675286895616,0.9463053247131044,Autres menuisiers
27.643537483392343,0.8547837309281466,0.14521626907185337,Coiffeurs
27.183252293323516,0.030219795972324,0.969780204027676,Maçons
26.86923479837896,0.2556611036884175,0.7443388963115825,Autres commerçants du secteur tertiaire
26.832756107321288,0.20462360323903941,0.7953763967609606,Police
26.831665159131077,0.29205891477771323,0.7079410852222867,Architectes
25.8320531303704,0.06081080500683572,0.9391891949931643,Autres chauffeurs et conducteurs
25.690067686670258,0.14142780149726927,0.8585721985027307,Autres ouvriers qualifiés et utilisateurs techniques
25.689505781546156,0.9889854961545871,0.011014503845412915,Assistants médicaux
24.522264946125233,0.7783333713781682,0.22166662862183184,"Physiothérapeutes, ergothérapeutes"
24.121613791826192,0.7888088843581457,0.21119111564185433,Autres employés d'administration
23.95585065086592,0.01536136579364043,0.9846386342063596,Mécaniciens en automobiles
23.325922552450404,0.0693853115264521,0.9306146884735479,Ingénieurs en informatique
22.880672760051194,0.4434204643816645,0.5565795356183355,Professions des assurances spa
22.054812026989705,0.39828987262671006,0.6017101273732899,Fonctionnaires supérieurs de l'administration publique
21.46680916856699,0.5332553714005651,0.4667446285994349,Autres professions du façonnage et de la manufacture
21.165842985520786,0.5186677524366023,0.48133224756339765,"Enseignants des classes supérieures, des classes de formation pratique et des classes d'orientation"
