code,description
111.01,Agriculteurs
114.02,Fleuristes
211.01,Fromagers et laitiers
211.02,"Bouchers, charcutiers"
211.03,"Boulangers, pâtissiers et confiseurs"
253.02,Mécaniciens en automobiles
291.03,"Magasiniers, manutentionnaires"
311.04,Ingénieurs en machines
412.04,"Peintres, tapissiers"
521.01,Spécialistes en publicité
521.02,Spécialistes en relations publiques
521.03,Spécialistes en marketing
532.04,Moniteurs d'auto-école et experts en automobiles
711.04,Spécialistes du personnel
721.02,Fonctionnaires d'administration epa
721.03,Comptables
721.04,Spécialistes en immobilier et gérants
751.01,"Juges, procureurs"
751.02,Greffiers
751.04,Autres représentants de la justice et conseillers juridiques
812.01,Bibliothécaires
822.01,Acteurs
824.07,"Décorateurs, étalagistes"
824.09,Architectes d'intérieurs
831.02,Educateurs spécialisés
843.01,"Enseignants des classes supérieures, des classes de formation pratique et des classes d'orientation"
844.01,Instituteurs (école primaire)
845.01,"Jardinières d'enfants, éducatrices de la petite enfance"
846.04,"Professeurs de dessin, maîtres d'activités créatrices manuelles"
846.05,Professeurs de gymnastique et d'éducation physique
851.01,Professions des sciences économiques
851.03,Psychologues et conseillers en orientation professionnelle
853.01,Biologistes
861.01,Médecins
861.02,Assistants médicaux
861.03,Pharmaciens
862.01,"Physiothérapeutes, ergothérapeutes"
862.03,"Guérisseurs, naturopathes"
862.04,Opticiens
862.07,Autres professions de la thérapeutique et de la technique médicale
862.08,Laborantins médicaux
864.01,Vétérinaires
865.03,Infirmiers en psychiatrie
865.04,Infirmiers diplômés
865.07,Autres professions soignantes
